node_id,node_label,equity_concern,component,org_id,org_name,prescribing_rate_recent,retail_accessibility_score,imd_score_weighted,months_zero,trend_slope
8,Deprived NHS-dependent,High,main,16C,NHS TEES VALLEY,18.257,0.258,31.371,0,0.0317
8,Deprived NHS-dependent,High,main,84H,NHS COUNTY DURHAM,16.296,0.195,28.808,0,0.0438
8,Deprived NHS-dependent,High,main,03H,NHS NORTH EAST LINCOLNSHIRE,15.304,0.218,30.213,0,0.0432
8,Deprived NHS-dependent,High,main,01F,NHS HALTON,7.267,0.214,31.117,1,-0.2025
9,Highest prescribers,Medium,main,02Y,NHS EAST RIDING OF YORKSHIRE,28.161,0.237,16.228,0,0.0959
9,Highest prescribers,Medium,main,03Q,NHS VALE OF YORK,26.037,0.25,12.407,0,0.0932
9,Highest prescribers,Medium,main,03K,NHS NORTH LINCOLNSHIRE,22.681,0.217,23.473,0,0.0122
9,Highest prescribers,Medium,main,02H,NHS WIGAN BOROUGH,22.311,0.234,25.206,0,-0.0087
9,Highest prescribers,Medium,main,99C,NHS NORTH TYNESIDE,21.873,0.288,20.932,0,0.0828
9,Highest prescribers,Medium,main,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",19.976,0.281,14.281,0,0.0281
9,Highest prescribers,Medium,main,01W,NHS STOCKPORT,18.601,0.247,18.404,0,0.0453
10,Structural double disadvantage,High,main,42D,NHS NORTH YORKSHIRE,7.713,0.238,16.803,0,0.0199
10,Structural double disadvantage,High,main,09D,NHS BRIGHTON AND HOVE,6.612,0.228,20.266,0,0.0036
10,Structural double disadvantage,High,main,02E,NHS WARRINGTON,6.224,0.232,16.835,1,-0.1318
10,Structural double disadvantage,High,main,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",3.054,0.261,17.706,0,0.0048
10,Structural double disadvantage,High,main,06L,NHS IPSWICH AND EAST SUFFOLK,3.012,0.225,18.318,0,-0.0025
10,Structural double disadvantage,High,main,05V,NHS STAFFORD AND SURROUNDS,2.952,0.17,13.875,0,0.0006
10,Structural double disadvantage,High,main,99E,NHS BASILDON AND BRENTWOOD,2.644,0.243,19.211,0,0.0027
10,Structural double disadvantage,High,main,15N,NHS DEVON,2.496,0.22,20.141,0,-0.0051
10,Structural double disadvantage,High,main,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA,2.297,0.229,15.327,0,-0.0095
10,Structural double disadvantage,High,main,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH,0.727,0.272,16.614,0,-0.0103
10,Structural double disadvantage,High,main,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",0.366,0.262,19.537,0,-0.0638
10,Structural double disadvantage,High,main,15M,NHS DERBY AND DERBYSHIRE,0.334,0.218,21.553,0,-0.0115
10,Structural double disadvantage,High,main,11M,NHS GLOUCESTERSHIRE,0.13,0.271,15.146,0,-0.0023
10,Structural double disadvantage,High,main,02M,NHS FYLDE AND WYRE,0.066,0.246,18.554,13,0.0002
10,Structural double disadvantage,High,main,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE,0.049,0.208,22.903,0,-0.0012
10,Structural double disadvantage,High,main,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",0.042,0.24,20.099,26,0.0002
10,Structural double disadvantage,High,main,04V,NHS WEST LEICESTERSHIRE,0.025,0.195,13.868,11,-0.3651
10,Structural double disadvantage,High,main,78H,NHS NORTHAMPTONSHIRE,0.025,0.257,17.483,19,-0.0042
11,"Moderate provision, least deprived",Low,main,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",19.976,0.281,14.281,0,0.0281
11,"Moderate provision, least deprived",Low,main,B2M3M,NHS COVENTRY AND WARWICKSHIRE,17.927,0.292,19.975,0,0.006
11,"Moderate provision, least deprived",Low,main,11J,NHS DORSET,16.464,0.299,16.905,0,-0.0626
11,"Moderate provision, least deprived",Low,main,70F,NHS WEST SUSSEX,16.446,0.309,14.8,0,0.0076
11,"Moderate provision, least deprived",Low,main,10Q,NHS OXFORDSHIRE,13.896,0.333,11.22,0,-0.0103
11,"Moderate provision, least deprived",Low,main,97R,NHS EAST SUSSEX,13.327,0.367,21.23,0,0.0174
11,"Moderate provision, least deprived",Low,main,14Y,NHS BUCKINGHAMSHIRE,12.892,0.316,11.901,0,0.0308
11,"Moderate provision, least deprived",Low,main,U2G6B,NHS THAMES VALLEY ICB - U2G6B,11.642,0.301,14.315,0,0.0009
11,"Moderate provision, least deprived",Low,main,07H,NHS WEST ESSEX,10.765,0.324,15.128,0,-0.0522
11,"Moderate provision, least deprived",Low,main,92A,NHS SURREY HEARTLANDS,9.913,0.409,10.132,0,0.0161
11,"Moderate provision, least deprived",Low,main,91Q,NHS KENT AND MEDWAY,9.877,0.341,21.25,0,0.0473
11,"Moderate provision, least deprived",Low,main,27D,NHS CHESHIRE,4.857,0.3,15.849,0,-0.1199
11,"Moderate provision, least deprived",Low,main,36L,NHS SOUTH WEST LONDON,3.705,0.327,15.604,0,0.0143
