measure,org_type,org_id,org_name,date,numerator,denominator,calc_value,percentile
glutenfree,ccg,03W,NHS EAST LEICESTERSHIRE AND RUTLAND,2021-04-01,8561.59223,343.842,24.899786035446514,97.16981132075472
glutenfree,ccg,00R,NHS BLACKPOOL,2021-04-01,0.0,174.97000000000003,0.0,0.0
glutenfree,ccg,99F,NHS CASTLE POINT AND ROCHFORD,2021-04-01,16.77791,185.43200000000002,0.09048012209327407,11.320754716981133
glutenfree,ccg,00X,NHS CHORLEY AND SOUTH RIBBLE,2021-04-01,0.0,187.00199999999998,0.0,0.0
glutenfree,ccg,03F,NHS HULL,2021-04-01,4904.379860000001,303.407,16.164359622553206,67.9245283018868
glutenfree,ccg,78H,NHS NORTHAMPTONSHIRE,2021-04-01,161.29349000000002,801.3910000000001,0.20126690966082725,16.037735849056602
glutenfree,ccg,07G,NHS THURROCK,2021-04-01,2414.1362900000004,182.62400000000002,13.219162267828983,55.660377358490564
glutenfree,ccg,99C,NHS NORTH TYNESIDE,2021-04-01,4276.819339999999,223.243,19.15768619844743,80.18867924528303
glutenfree,ccg,03L,NHS ROTHERHAM,2021-04-01,0.0,264.96,0.0,0.0
glutenfree,ccg,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",2021-04-01,3157.5819199999996,1042.5549999999998,3.028695771446111,35.84905660377358
glutenfree,ccg,42D,NHS NORTH YORKSHIRE,2021-04-01,3912.0672700000005,549.4839999999999,7.119528994474818,46.22641509433962
glutenfree,ccg,36J,NHS BRADFORD DISTRICT AND CRAVEN,2021-04-01,179.78824999999998,645.5790000000001,0.27849147819244424,21.69811320754717
glutenfree,ccg,11N,NHS CORNWALL AND THE ISLES OF SCILLY,2021-04-01,196.09731,592.3759999999997,0.3310352039920592,22.641509433962266
glutenfree,ccg,15F,NHS LEEDS,2021-04-01,16592.41063,897.8860000000002,18.479417910514247,76.41509433962264
glutenfree,ccg,04V,NHS WEST LEICESTERSHIRE,2021-04-01,9574.974580000002,404.1450000000001,23.69192883742221,94.33962264150944
glutenfree,ccg,D2P2L,NHS BLACK COUNTRY,2021-04-01,33900.42060000001,1276.7309999999995,26.552516230905354,99.05660377358491
glutenfree,ccg,84H,NHS COUNTY DURHAM,2021-04-01,8748.393960000003,558.5639999999999,15.662294669903549,65.09433962264151
glutenfree,ccg,14L,NHS MANCHESTER,2021-04-01,13992.29643,677.7449999999999,20.64537020560831,83.9622641509434
glutenfree,ccg,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE,2021-04-01,151.9916,1104.1150000000002,0.13765921122346855,13.20754716981132
glutenfree,ccg,05W,NHS STOKE ON TRENT,2021-04-01,880.67904,296.25699999999995,2.972686012482406,33.9622641509434
glutenfree,ccg,00N,NHS SOUTH TYNESIDE,2021-04-01,2892.56999,158.453,18.255066107931057,72.64150943396226
glutenfree,ccg,91Q,NHS KENT AND MEDWAY,2021-04-01,16766.200059999996,1937.1419999999991,8.655121854773684,50.0
glutenfree,ccg,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH,2021-04-01,1282.7254,994.5240000000003,1.2897882806247005,28.30188679245283
glutenfree,ccg,99G,NHS SOUTHEND,2021-04-01,45.835,189.76999999999998,0.24152921958159881,18.867924528301888
