org_id,org_name,prescribing_rate_mean,prescribing_rate_median,prescribing_rate_max,months_zero,imd_score_mean,income_score_mean,health_score_mean,education_score_mean,retail_accessibility_score,total_stores,quality_stores,regular_stores,budget_stores,n_lsoas
03R,NHS WAKEFIELD,0.08755115769659538,0.0183070087244186,0.4458726524781146,28,27.34404651162791,0.25491627906976744,0.6394418604651162,32.50604186046512,0.3068181818181818,88,2,23,63,215
03W,NHS EAST LEICESTERSHIRE AND RUTLAND,17.345334893879986,22.105272867821917,28.11571847686572,0,11.404175,0.1374,-0.6256,12.327575,0.28865979381443296,97,5,18,74,200
04C,NHS LEICESTER CITY,9.995894313148511,12.41086120273928,16.944130017295087,0,33.93239,0.340265,0.35097,37.730035,0.18309859154929578,71,0,13,58,200
04V,NHS WEST LEICESTERSHIRE,16.172037081077672,20.723039887197377,26.80873442399809,11,14.030316239316239,0.15643589743589745,-0.2802179487179487,16.664564102564103,0.19469026548672566,113,3,16,94,234
04Y,NHS CANNOCK CHASE,3.1331256388791755,3.2407959493597995,5.152460036659705,0,19.026404761904764,0.2103809523809524,0.25120238095238095,26.136011904761908,0.3611111111111111,36,1,11,24,84
05D,NHS EAST STAFFORDSHIRE,3.2040299353066106,3.2918325446898,6.150881941554144,0,18.077025641025642,0.198,0.03216666666666666,22.797320512820512,0.28205128205128205,39,2,7,30,78
05G,NHS NORTH STAFFORDSHIRE,3.6692270240832623,3.76797730279572,5.18878556341262,0,17.51707462686567,0.174455223880597,0.09847761194029851,19.569514925373134,0.32142857142857145,56,2,14,40,134
05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA,2.729972265990979,2.704952114461165,4.04724106673435,0,15.7582,0.1818357142857143,-0.14823571428571428,20.425685714285713,0.22857142857142856,70,2,12,56,140
05V,NHS STAFFORD AND SURROUNDS,2.9625126417404726,2.8293465155843736,5.757394877168779,0,14.188021505376343,0.15401075268817205,-0.2223978494623656,13.961817204301076,0.1702127659574468,47,1,6,40,93
05W,NHS STOKE ON TRENT,4.560731959410405,4.757350253334265,6.650036107187619,0,32.34381547619048,0.3165,0.8852916666666667,35.509976190476195,0.19736842105263158,76,0,15,61,168
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH,0.9839736361216598,0.9882533304767844,1.3609905206200252,0,16.4661119544592,0.18358064516129033,-0.4304648956356736,20.02099430740038,0.27235772357723576,246,12,43,191,527
06K,NHS EAST AND NORTH HERTFORDSHIRE,0.7877698710639764,0.8230690081742549,1.075344850684956,0,13.897637426900586,0.17721637426900583,-0.5989590643274854,16.093236842105263,0.39416058394160586,137,10,34,93,342
06L,NHS IPSWICH AND EAST SUFFOLK,3.1676765757754333,3.157627840771547,4.715372816340372,0,18.387879166666668,0.18090833333333334,-0.17174583333333335,23.784029166666667,0.2248062015503876,129,5,19,105,240
06N,NHS HERTS VALLEYS,0.20159808738234006,0.1979106773962124,0.5830214313743246,0,12.31456388888889,0.16628888888888887,-0.7157416666666666,12.257219444444445,0.30434782608695654,161,13,23,125,360
06Q,NHS MID ESSEX,0.0457628610150675,0.0,0.2571102869421611,32,14.864768595041323,0.15930578512396695,-0.4520413223140496,18.19740082644628,0.28448275862068967,116,4,25,87,242
06T,NHS NORTH EAST ESSEX,1.7163577014534026,1.697861882347222,2.572353924967322,0,23.896844660194176,0.22124271844660195,0.31028155339805824,28.58126699029126,0.3185840707964602,113,7,22,84,206
07G,NHS THURROCK,8.707104334949909,8.745457008831467,13.219162267828985,0,20.63643,0.23065000000000002,-0.11634,24.86142,0.35,40,3,8,29,100
07H,NHS WEST ESSEX,11.822273035408564,11.621059019866433,15.256164355981758,0,15.292583783783785,0.18096756756756757,-0.8245999999999999,18.998416216216217,0.323943661971831,71,4,15,52,185
07K,NHS WEST SUFFOLK,3.6580004922286906,3.628803496993881,6.971427220247218,0,16.286744525547444,0.16555474452554744,-0.365970802919708,23.16175912408759,0.38028169014084506,71,6,15,50,137
09D,NHS BRIGHTON AND HOVE,6.703983354924857,6.663335714703631,8.199177080926676,0,20.35640606060606,0.21560606060606063,0.044224242424242416,18.373369696969696,0.22784810126582278,79,4,10,65,165
10Q,NHS OXFORDSHIRE,14.442121570044261,14.407594662952237,16.18136117460155,0,11.16982816229117,0.13273508353221958,-0.910871121718377,15.674190930787589,0.3333333333333333,216,19,34,163,419
10R,NHS PORTSMOUTH,6.98375579475473,10.246704161293696,14.515854279598107,2,25.826079999999997,0.256488,0.258816,28.675112000000002,0.27692307692307694,65,3,12,50,125
11J,NHS DORSET,20.177133408997985,21.401886785777908,25.07283430628598,0,16.855924406047514,0.1821619870410367,-0.2215939524838013,18.1422030237581,0.2988505747126437,261,18,42,201,463
11M,NHS GLOUCESTERSHIRE,0.16487795245866593,0.1498245846483653,0.4283354263394502,0,15.120776081424937,0.16348600508905853,-0.45020865139949107,16.75523409669211,0.271356783919598,199,10,34,155,393
11N,NHS CORNWALL AND THE ISLES OF SCILLY,0.11841541824938037,0.053025988125474,0.3456632414954777,6,22.457026706231453,0.2200593471810089,-0.05272106824925816,21.333350148367952,0.2549019607843137,204,6,40,158,337
11X,NHS SOMERSET,0.589133355321521,0.5648152836939567,1.1021178131777527,0,19.333159292035397,0.1831386430678466,-0.20904129793510323,22.684286135693217,0.28342245989304815,187,8,37,142,339
12F,NHS WIRRAL,16.213654353676507,18.547332010507912,22.04461768395979,0,27.20305263157895,0.26013397129186605,0.8376315789473684,22.941349282296652,0.2808988764044944,89,3,19,67,209
13T,NHS NEWCASTLE GATESHEAD,15.838367032477393,15.673291278980912,19.191467591666424,0,28.394794117647063,0.2798888888888889,0.6786111111111112,28.326267973856208,0.3082706766917293,133,5,31,97,306
14L,NHS MANCHESTER,20.037758155727335,20.08726097520824,24.63700410343184,0,37.96294576271186,0.36408135593220337,1.0717627118644069,27.224406779661017,0.23684210526315788,152,4,28,120,295
14Y,NHS BUCKINGHAMSHIRE,12.450861161871872,12.303672628966408,14.66637402695968,0,11.727068656716419,0.13649253731343283,-1.0562358208955225,12.942680597014924,0.3157894736842105,152,13,22,117,335
15A,NHS BERKSHIRE WEST,0.11168892373194496,0.0889594630890737,0.3215326242112823,2,11.7921059602649,0.14354635761589404,-0.7661721854304636,14.260688741721854,0.31690140845070425,142,12,21,109,302
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",3.005815579335885,3.028695771446111,4.516707641745445,0,17.337669535283993,0.1809724612736661,-0.17028399311531842,20.13748709122203,0.2613240418118467,287,14,47,226,581
15E,NHS BIRMINGHAM AND SOLIHULL,24.964479674078376,25.23628419978924,28.688736442731845,0,34.08220176544767,0.3738537200504414,0.568938209331652,30.958704918032787,0.30742049469964666,283,13,61,209,793
15F,NHS LEEDS,9.740248094570383,15.05546104328817,18.479417910514247,0,23.725782786885247,0.24256762295081968,0.1385594262295082,24.118452868852458,0.2932692307692308,208,10,41,157,488
